                id                | language 
----------------------------------+----------
 01coin                           | en
 01coin                           | de
 01coin                           | es
 01coin                           | fr
 01coin                           | it
 01coin                           | pl
 01coin                           | ro
 01coin                           | hu
 01coin                           | nl
 01coin                           | pt
 01coin                           | sv
 01coin                           | vi
 01coin                           | tr
 01coin                           | ru
 01coin                           | ja
 01coin                           | zh
 01coin                           | zh-tw
 01coin                           | ko
 01coin                           | ar
 01coin                           | th
 01coin                           | id
 01coin                           | cs
 01coin                           | da
 01coin                           | el
 01coin                           | hi
 01coin                           | no
 01coin                           | sk
 01coin                           | uk
 01coin                           | he
 01coin                           | fi
 01coin                           | bg
 01coin                           | hr
 01coin                           | lt
 01coin                           | sl
 0-5x-long-algorand-token         | en
 0-5x-long-algorand-token         | de
 0-5x-long-algorand-token         | es
 0-5x-long-algorand-token         | fr
 0-5x-long-algorand-token         | it
 0-5x-long-algorand-token         | pl
 0-5x-long-algorand-token         | ro
 0-5x-long-algorand-token         | hu
 0-5x-long-algorand-token         | nl
 0-5x-long-algorand-token         | pt
 0-5x-long-algorand-token         | sv
 0-5x-long-algorand-token         | vi
 0-5x-long-algorand-token         | tr
 0-5x-long-algorand-token         | ru
 0-5x-long-algorand-token         | ja
 0-5x-long-algorand-token         | zh
 0-5x-long-algorand-token         | zh-tw
 0-5x-long-algorand-token         | ko
 0-5x-long-algorand-token         | ar
 0-5x-long-algorand-token         | th
 0-5x-long-algorand-token         | id
 0-5x-long-algorand-token         | cs
 0-5x-long-algorand-token         | da
 0-5x-long-algorand-token         | el
 0-5x-long-algorand-token         | hi
 0-5x-long-algorand-token         | no
 0-5x-long-algorand-token         | sk
 0-5x-long-algorand-token         | uk
 0-5x-long-algorand-token         | he
 0-5x-long-algorand-token         | fi
 0-5x-long-algorand-token         | bg
 0-5x-long-algorand-token         | hr
 0-5x-long-algorand-token         | lt
 0-5x-long-algorand-token         | sl
 0-5x-long-altcoin-index-token    | en
 0-5x-long-altcoin-index-token    | de
 0-5x-long-altcoin-index-token    | es
 0-5x-long-altcoin-index-token    | fr
 0-5x-long-altcoin-index-token    | it
 0-5x-long-altcoin-index-token    | pl
 0-5x-long-altcoin-index-token    | ro
 0-5x-long-altcoin-index-token    | hu
 0-5x-long-altcoin-index-token    | nl
 0-5x-long-altcoin-index-token    | pt
 0-5x-long-altcoin-index-token    | sv
 0-5x-long-altcoin-index-token    | vi
 0-5x-long-altcoin-index-token    | tr
 0-5x-long-altcoin-index-token    | ru
 0-5x-long-altcoin-index-token    | ja
 0-5x-long-altcoin-index-token    | zh
 0-5x-long-altcoin-index-token    | zh-tw
 0-5x-long-altcoin-index-token    | ko
 0-5x-long-altcoin-index-token    | ar
 0-5x-long-altcoin-index-token    | th
 0-5x-long-altcoin-index-token    | id
 0-5x-long-altcoin-index-token    | cs
 0-5x-long-altcoin-index-token    | da
 0-5x-long-altcoin-index-token    | el
 0-5x-long-altcoin-index-token    | hi
 0-5x-long-altcoin-index-token    | no
 0-5x-long-altcoin-index-token    | sk
 0-5x-long-altcoin-index-token    | uk
 0-5x-long-altcoin-index-token    | he
 0-5x-long-altcoin-index-token    | fi
 0-5x-long-altcoin-index-token    | bg
 0-5x-long-altcoin-index-token    | hr
 0-5x-long-altcoin-index-token    | lt
 0-5x-long-altcoin-index-token    | sl
 0-5x-long-ascendex-token-token   | en
 0-5x-long-ascendex-token-token   | de
 0-5x-long-ascendex-token-token   | es
 0-5x-long-ascendex-token-token   | fr
 0-5x-long-ascendex-token-token   | it
 0-5x-long-ascendex-token-token   | pl
