                id                |  curr_price_usd  |   total_supply    | circulating_supply |       last_updated       
----------------------------------+------------------+-------------------+--------------------+--------------------------
 01coin                           |       0.00031137 |        65658824.0 |                0.0 | 2022-06-08T02:40:19.935Z
 0-5x-long-algorand-token         |         10671.19 |                   |                0.0 | 2022-06-07T16:25:39.827Z
 0-5x-long-altcoin-index-token    |         15835.71 |                   |                0.0 | 2022-06-05T17:43:07.849Z
 0-5x-long-ascendex-token-token   |         14840.41 |                   |                0.0 | 2022-04-28T00:04:27.397Z
 0-5x-long-bitcoin-cash-token     |          6381.29 |                   |                0.0 | 2022-05-19T23:20:09.313Z
 0-5x-long-bitcoin-token          |         13152.36 |                   |                0.0 | 2022-05-27T16:44:00.556Z
 0-5x-long-cardano-token          |            32503 |                   |                0.0 | 2022-06-08T02:42:25.697Z
 0-5x-long-chainlink-token        |         12694.19 |                   |                0.0 | 2022-06-08T02:43:03.690Z
 0-5x-long-cosmos-token           |         15492.88 |                   |                0.0 | 2022-05-27T21:32:14.094Z
 0-5x-long-dogecoin-token         |            86302 |                   |                0.0 | 2022-05-28T23:31:35.573Z
 0-5x-long-eos-token              |          5250.58 |                   |                0.0 | 2022-06-05T13:47:48.576Z
 0-5x-long-ethereum-classic-token |         18599.16 |                   |                0.0 | 2022-06-07T16:42:11.742Z
 0-5x-long-ethereum-token         |            21822 |                   |                0.0 | 2022-06-08T02:42:25.879Z
 0-5x-long-kyber-network-token    |         11011.89 |                   |                0.0 | 2022-05-31T03:32:17.632Z
 0-5x-long-matic-token            |            58261 |                   |                0.0 | 2022-05-31T21:41:14.520Z
 0-5x-long-privacy-index-token    |         10553.15 |                   |                0.0 | 2022-06-05T11:42:09.649Z
 0-5x-long-swipe-token            |          8208.06 |                   |                0.0 | 2022-06-05T00:31:43.851Z
 0-5x-long-theta-network-token    |         15840.84 |                   |                0.0 | 2022-06-07T04:43:07.267Z
 0-5x-long-xrp-token              |         12249.29 |                   |                0.0 | 2022-05-31T13:24:28.674Z
 0cash                            |       0.00030169 |        84000000.0 |                0.0 | 2022-05-25T03:58:51.373Z
 0chain                           |         0.230453 |       400000000.0 |         48400982.0 | 2022-06-08T02:42:30.855Z
 0x                               |         0.416188 |      1000000000.0 |  847496054.8122635 | 2022-06-08T02:42:17.654Z
 0xcert                           |       0.00028602 |     336893262.402 |       413793267.63 | 2022-06-08T02:40:14.104Z
 0xdao                            |        0.0027439 |   31499808.574879 |                0.0 | 2022-06-08T02:42:25.603Z
 0xdao-v2                         |         0.341265 |     2324605.48596 |                0.0 | 2022-06-08T02:39:08.317Z
 0xmonero                         |         0.070539 |  18399578.1103518 |          1810150.0 | 2022-06-07T18:24:14.738Z
 0xpad                            |       0.01333316 |       100000000.0 |                0.0 | 2022-06-08T02:42:49.392Z
 10024-10028-appoline             |            152.1 |                   |                0.0 | 2022-05-04T05:13:33.068Z
 10084-grayton                    |            40.13 |                   |                0.0 | 2022-05-31T18:33:52.744Z
 100-days-ventures                |       0.00221609 |                   |                0.0 | 2022-06-08T02:42:58.268Z
 100x-coin                        | 0.00000000022193 | 877472203369704.0 |                0.0 | 2022-06-05T14:27:52.734Z
 10604-somerset                   |            40.37 |                   |                0.0 | 2022-06-08T02:43:16.510Z
 10612-somerset                   |             37.3 |                   |                0.0 | 2022-06-08T02:43:16.911Z
 10616-mckinney                   |            38.64 |                   |                0.0 | 2022-06-03T06:05:50.310Z
 10617-hathaway                   |            51.87 |                   |                0.0 | 2022-06-01T15:52:02.244Z
 10629-mckinney                   |            39.47 |                   |                0.0 | 2022-06-08T02:43:15.661Z
 10639-stratman                   |            38.84 |                   |                0.0 | 2022-06-07T17:34:56.087Z
 10700-whittier                   |             38.5 |                   |                0.0 | 2022-06-07T22:34:19.132Z
 11078-longview                   |            36.78 |                   |                0.0 | 2022-06-07T07:22:29.116Z
 11078-wayburn                    |            35.34 |                   |                0.0 | 2022-06-04T17:49:21.670Z
 11201-college                    |            37.23 |                   |                0.0 | 2022-06-04T17:49:23.031Z
 11300-roxbury                    |            42.14 |                   |                0.0 | 2022-06-08T02:43:16.761Z
 11653-nottingham                 |            41.62 |                   |                0.0 | 2022-06-01T14:39:42.914Z
 11957-olga                       |            51.67 |                   |                0.0 | 2022-06-08T02:43:16.141Z
 12334-lansdowne                  |            41.06 |                   |                0.0 | 2022-06-02T02:37:24.621Z
 12405-santa-rosa                 |            53.42 |                   |                0.0 | 2022-06-08T02:43:15.992Z
(46 rows)

