                id                | all_time_high  |         ath_date         |   all_time_low    |         atl_date         
----------------------------------+----------------+--------------------------+-------------------+--------------------------
 01coin                           |     0.03418169 | 2018-10-10T17:27:38.034Z |        0.00025269 | 2022-05-30T15:41:34.289Z
 0-5x-long-algorand-token         |          26239 | 2021-09-13T00:44:05.420Z |           7222.78 | 2020-11-04T21:58:23.744Z
 0-5x-long-altcoin-index-token    |          26330 | 2021-11-09T18:11:29.506Z |           7519.66 | 2020-11-04T21:58:06.513Z
 0-5x-long-ascendex-token-token   |          32367 | 2022-01-29T10:00:57.004Z |           6605.01 | 2020-11-04T21:58:07.577Z
 0-5x-long-bitcoin-cash-token     |        16334.0 | 2021-05-06T19:57:55.584Z |           6080.06 | 2020-10-09T06:04:28.636Z
 0-5x-long-bitcoin-token          |          20307 | 2021-10-21T09:37:24.535Z |            8028.2 | 2020-08-07T18:38:17.669Z
 0-5x-long-cardano-token          |          70155 | 2021-09-02T05:45:49.890Z |          11030.84 | 2020-11-04T21:58:11.080Z
 0-5x-long-chainlink-token        |          25260 | 2021-05-07T10:13:09.241Z |          10567.02 | 2022-05-27T15:31:42.996Z
 0-5x-long-cosmos-token           |          31262 | 2022-01-07T11:46:17.711Z |           8550.03 | 2020-12-25T01:34:15.654Z
 0-5x-long-dogecoin-token         |         216706 | 2021-05-08T13:28:31.150Z |           7164.65 | 2020-11-05T21:44:32.420Z
 0-5x-long-eos-token              |       15622.07 | 2021-05-12T00:19:46.637Z |           5004.38 | 2022-05-13T18:31:44.021Z
 0-5x-long-ethereum-classic-token |          38643 | 2021-05-07T10:07:25.273Z |           6535.53 | 2020-11-04T21:58:31.894Z
 0-5x-long-ethereum-token         |          35179 | 2021-11-10T21:49:37.015Z |           9096.62 | 2020-09-08T22:47:29.697Z
 0-5x-long-kyber-network-token    |       15427.71 | 2022-04-24T06:05:35.795Z |           5079.83 | 2020-11-04T21:58:23.800Z
 0-5x-long-matic-token            |         113140 | 2021-12-26T12:13:54.647Z |           5855.59 | 2020-11-05T21:44:12.454Z
 0-5x-long-privacy-index-token    |          21247 | 2021-05-12T22:29:13.298Z |           7538.16 | 2020-11-04T21:58:05.693Z
 0-5x-long-swipe-token            |       19996.58 | 2021-08-25T15:53:17.619Z |           6456.55 | 2022-05-12T08:38:10.940Z
 0-5x-long-theta-network-token    |          45362 | 2021-03-24T17:40:55.412Z |           6743.04 | 2020-08-23T09:04:29.641Z
 0-5x-long-xrp-token              |          22019 | 2021-05-06T01:04:36.782Z |           6992.63 | 2020-11-04T16:44:49.304Z
 0cash                            |     0.02411073 | 2020-03-22T21:45:25.543Z |         0.0001639 | 2020-11-26T19:22:31.515Z
 0chain                           |           5.16 | 2021-11-10T12:21:06.184Z |     0.00000000265 | 2021-12-14T21:31:35.868Z
 0x                               |            2.5 | 2018-01-13T00:00:00.000Z |          0.120667 | 2020-03-13T02:27:49.563Z
 0xcert                           |     0.04374969 | 2018-07-12T00:00:10.546Z |          0.000272 | 2022-06-07T12:28:04.437Z
 0xdao                            |       0.386077 | 2022-01-22T04:59:35.784Z |        0.00267648 | 2022-06-08T00:51:26.528Z
 0xdao-v2                         |            4.6 | 2022-03-19T21:42:12.483Z |           0.18421 | 2022-05-12T10:15:52.315Z
 0xmonero                         |           2.21 | 2022-04-16T06:34:10.752Z |        0.00006805 | 2022-01-29T09:08:21.458Z
 0xpad                            |       0.137928 | 2022-01-13T02:28:50.291Z |        0.01311456 | 2022-06-01T20:43:35.157Z
 10024-10028-appoline             |         251.32 | 2021-08-12T15:16:04.557Z |            125.91 | 2021-12-06T21:38:44.849Z
 10084-grayton                    |          89.36 | 2021-08-12T14:34:05.307Z |              33.2 | 2022-02-10T00:04:32.611Z
 100-days-ventures                |     0.00649885 | 2022-05-11T06:49:50.899Z |        0.00215447 | 2022-06-07T12:26:54.728Z
 100x-coin                        | 0.000000350426 | 2021-11-02T13:32:32.441Z | 0.000000000179197 | 2022-06-01T20:53:45.375Z
 10604-somerset                   |          72.03 | 2021-08-23T14:11:06.879Z |              36.5 | 2022-05-12T21:42:47.441Z
 10612-somerset                   |          87.62 | 2021-08-12T15:16:04.997Z |             34.44 | 2022-05-19T02:18:30.863Z
 10616-mckinney                   |          77.85 | 2021-08-12T16:31:30.917Z |             34.09 | 2022-05-12T05:57:35.890Z
 10617-hathaway                   |          126.5 | 2021-07-03T20:31:57.403Z |             47.41 | 2022-01-08T10:50:57.611Z
 10629-mckinney                   |          86.75 | 2021-08-12T15:31:00.772Z |             36.38 | 2022-05-14T14:09:55.504Z
 10639-stratman                   |          80.88 | 2021-08-12T15:30:59.713Z |              36.5 | 2022-05-12T21:42:46.886Z
 10700-whittier                   |          84.94 | 2021-08-12T14:47:33.161Z |             34.03 | 2021-06-29T09:34:20.845Z
 11078-longview                   |         104.59 | 2021-12-17T22:37:40.207Z |             33.53 | 2022-05-12T07:09:44.085Z
 11078-wayburn                    |          68.53 | 2021-08-12T14:22:09.975Z |             32.07 | 2022-05-12T05:57:36.681Z
 11201-college                    |         110.76 | 2021-08-12T14:47:30.104Z |             33.62 | 2022-05-12T07:17:23.333Z
 11300-roxbury                    |          77.24 | 2021-08-12T14:22:08.012Z |             36.66 | 2022-02-10T00:04:32.837Z
 11653-nottingham                 |          70.17 | 2021-08-12T14:47:29.657Z |              37.2 | 2021-10-11T17:07:50.286Z
 11957-olga                       |          58.62 | 2021-08-04T22:10:56.192Z |             46.91 | 2021-06-26T17:06:10.981Z
 12334-lansdowne                  |          87.67 | 2021-08-12T16:17:22.073Z |             36.97 | 2022-05-12T07:16:52.900Z
 12405-santa-rosa                 |          61.43 | 2021-08-02T06:24:59.119Z |             48.34 | 2021-08-08T22:56:48.922Z
(46 rows)

